Payment_ID,Timestamp,Source_Institution,Target_Institution,Amount,Priority,Currency,Payment_Type,Status,Settlement_Time,Queue_Position
PAY000001,2024-01-15 08:00:15,INST002,INST001,450000,HIGH,USD,RTGS,SETTLED,0.8,0
PAY000002,2024-01-15 08:02:30,INST003,INST002,225000,NORMAL,USD,WIRE,SETTLED,1.2,0
PAY000003,2024-01-15 08:05:45,INST001,INST004,950000,HIGH,USD,RTGS,SETTLED,0.5,0
PAY000004,2024-01-15 08:08:20,INST005,INST003,175000,NORMAL,USD,ACH,SETTLED,2.3,0
PAY000005,2024-01-15 08:10:10,INST004,INST002,680000,HIGH,USD,RTGS,SETTLED,0.9,0
PAY000006,2024-01-15 08:12:35,INST002,INST005,310000,NORMAL,USD,WIRE,SETTLED,1.8,0
PAY000007,2024-01-15 08:15:50,INST003,INST001,520000,HIGH,USD,RTGS,SETTLED,0.7,0
PAY000008,2024-01-15 08:18:15,INST001,INST003,890000,HIGH,USD,RTGS,SETTLED,1.1,0
PAY000009,2024-01-15 08:20:40,INST005,INST004,140000,LOW,USD,ACH,QUEUED,0.0,3
PAY000010,2024-01-15 08:23:25,INST004,INST001,760000,NORMAL,USD,WIRE,SETTLED,1.5,0
PAY000011,2024-01-15 08:25:50,INST002,INST003,420000,HIGH,USD,RTGS,SETTLED,0.6,0
PAY000012,2024-01-15 08:28:10,INST003,INST005,195000,NORMAL,USD,WIRE,SETTLED,2.1,0
PAY000013,2024-01-15 08:30:35,INST001,INST002,1150000,HIGH,USD,RTGS,SETTLED,0.8,0
PAY000014,2024-01-15 08:33:20,INST005,INST001,280000,NORMAL,USD,WIRE,SETTLED,1.4,0
PAY000015,2024-01-15 08:35:45,INST004,INST003,540000,HIGH,USD,RTGS,SETTLED,0.9,0
PAY000016,2024-01-15 08:38:15,INST002,INST004,365000,NORMAL,USD,WIRE,SETTLED,1.7,0
PAY000017,2024-01-15 08:40:50,INST003,INST002,615000,HIGH,USD,RTGS,SETTLED,0.7,0
PAY000018,2024-01-15 08:43:25,INST001,INST005,825000,HIGH,USD,RTGS,SETTLED,1.0,0
PAY000019,2024-01-15 08:45:40,INST005,INST002,155000,LOW,USD,ACH,QUEUED,0.0,5
PAY000020,2024-01-15 08:48:10,INST004,INST001,490000,NORMAL,USD,WIRE,SETTLED,1.3,0
PAY000021,2024-01-15 08:50:35,INST002,INST001,740000,HIGH,USD,RTGS,SETTLED,0.8,0
PAY000022,2024-01-15 08:53:15,INST003,INST004,385000,NORMAL,USD,WIRE,SETTLED,1.9,0
PAY000023,2024-01-15 08:55:40,INST001,INST003,1020000,HIGH,USD,RTGS,SETTLED,0.6,0
PAY000024,2024-01-15 08:58:20,INST005,INST004,210000,NORMAL,USD,WIRE,SETTLED,1.6,0
PAY000025,2024-01-15 09:00:45,INST004,INST002,580000,HIGH,USD,RTGS,SETTLED,0.9,0
PAY000026,2024-01-15 09:03:10,INST002,INST005,325000,NORMAL,USD,WIRE,SETTLED,2.0,0
PAY000027,2024-01-15 09:05:35,INST003,INST001,670000,HIGH,USD,RTGS,SETTLED,0.7,0
PAY000028,2024-01-15 09:08:25,INST001,INST004,910000,HIGH,USD,RTGS,SETTLED,1.1,0
PAY000029,2024-01-15 09:10:50,INST005,INST003,165000,LOW,USD,ACH,SETTLED,3.2,0
PAY000030,2024-01-15 09:13:20,INST004,INST001,720000,NORMAL,USD,WIRE,SETTLED,1.5,0
PAY000031,2024-01-15 09:15:45,INST002,INST003,445000,HIGH,USD,RTGS,SETTLED,0.8,0
PAY000032,2024-01-15 09:18:10,INST003,INST005,235000,NORMAL,USD,WIRE,SETTLED,1.8,0
PAY000033,2024-01-15 09:20:40,INST001,INST002,1080000,HIGH,USD,RTGS,SETTLED,0.6,0
PAY000034,2024-01-15 09:23:15,INST005,INST001,295000,NORMAL,USD,WIRE,SETTLED,1.4,0
PAY000035,2024-01-15 09:25:50,INST004,INST003,560000,HIGH,USD,RTGS,SETTLED,0.9,0
PAY000036,2024-01-15 09:28:20,INST002,INST004,390000,NORMAL,USD,WIRE,SETTLED,1.7,0
PAY000037,2024-01-15 09:30:45,INST003,INST002,630000,HIGH,USD,RTGS,SETTLED,0.8,0
PAY000038,2024-01-15 09:33:25,INST001,INST005,850000,HIGH,USD,RTGS,SETTLED,1.0,0
PAY000039,2024-01-15 09:35:50,INST005,INST002,180000,NORMAL,USD,WIRE,SETTLED,2.2,0
PAY000040,2024-01-15 09:38:15,INST004,INST001,510000,NORMAL,USD,WIRE,SETTLED,1.3,0
PAY000041,2024-01-15 09:40:50,INST002,INST001,760000,HIGH,USD,RTGS,SETTLED,0.7,0
PAY000042,2024-01-15 09:43:20,INST003,INST004,405000,NORMAL,USD,WIRE,SETTLED,1.9,0
PAY000043,2024-01-15 09:45:45,INST001,INST003,1040000,HIGH,USD,RTGS,SETTLED,0.6,0
PAY000044,2024-01-15 09:48:25,INST005,INST004,225000,NORMAL,USD,WIRE,SETTLED,1.6,0
PAY000045,2024-01-15 09:50:50,INST004,INST002,595000,HIGH,USD,RTGS,SETTLED,0.9,0
PAY000046,2024-01-15 09:53:15,INST002,INST005,340000,NORMAL,USD,WIRE,SETTLED,2.0,0
PAY000047,2024-01-15 09:55:45,INST003,INST001,685000,HIGH,USD,RTGS,SETTLED,0.8,0
PAY000048,2024-01-15 09:58:20,INST001,INST004,925000,HIGH,USD,RTGS,SETTLED,1.1,0
PAY000049,2024-01-15 10:00:50,INST005,INST003,190000,NORMAL,USD,WIRE,SETTLED,2.4,0
PAY000050,2024-01-15 10:03:25,INST004,INST001,735000,NORMAL,USD,WIRE,SETTLED,1.5,0

# Example Payments Dataset
# 
# This file contains sample payment transaction data for testing the liquidity risk simulation model.
# The data represents realistic payment flows between five financial institutions during morning trading hours.
#
# Field Descriptions:
# - Payment_ID: Unique identifier for each payment
# - Timestamp: Date and time when payment was initiated (YYYY-MM-DD HH:MM:SS)
# - Source_Institution: Institution sending the payment
# - Target_Institution: Institution receiving the payment  
# - Amount: Payment amount in currency units
# - Priority: Processing priority (HIGH, NORMAL, LOW)
# - Currency: Currency code
# - Payment_Type: Type of payment system used
# - Status: Current payment status (SETTLED, QUEUED, REJECTED)
# - Settlement_Time: Time taken to settle in minutes (0 if not settled)
# - Queue_Position: Position in queue (0 if not queued)
#
# Usage:
# - Use this file as input for Arena simulation model testing
# - Modify amounts and timing to create different scenarios
# - Add stress test scenarios by increasing amounts or reducing liquidity
# - Analyze settlement patterns and identify potential bottlenecks
#
# Notes:
# - Payment amounts range from 140,000 to 1,150,000 currency units
# - Average settlement time for settled payments: ~1.3 minutes
# - High priority payments settled faster on average
# - Some low priority payments remain queued
